Site *,Management *,Sample date: Year *,Sample date: Month *,Sample date: Day *,Depth *,Transect number *,Transect length surveyed *,Number of quadrats *,Quadrat size *,Number of points per quadrat *,Observer emails *,Quadrat *,Benthic attribute *,Growth form,Number of points *
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,19,Montastraea,NA,1
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,19,Montipora,NA,1
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,19,Mycedium,NA,1
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,20,Turf algae,NA,5
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,20,Anemone,NA,1
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,20,Ascidian,NA,1
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,20,Bare substrate,NA,1
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,20,Corallimorpharia,NA,2
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,20,Sand,NA,1
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,20,Sponge,NA,1
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,20,Anomastraea,NA,1
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,20,Astreopora,NA,1
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,20,Blastomussa,NA,1
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,20,Caulastraea,NA,1
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,20,Cladiella,NA,1
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,20,Coeloseris,NA,1
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,20,Coscinaraea,NA,1
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,20,Dipsastraea,NA,1
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,20,Porites,Massive,5
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,21,Crustose coralline algae,NA,2
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,21,Halimeda,NA,2
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,21,Turf algae,NA,14
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,21,Obscured,NA,1
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,21,Seagrass,NA,1
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,21,Acropora,NA,3
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,21,Plesiastrea,NA,1
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,21,Seriatopora,NA,1
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,22,Seagrass,NA,25
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,23,Turf algae,NA,4
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,23,Seagrass,NA,15
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,23,Sand,NA,6
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,24,Crustose coralline algae,NA,1
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,24,Turf algae,NA,3
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,24,Anemone,NA,1
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,24,Ascidian,NA,1
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,24,Bare substrate,NA,1
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,24,Corallimorpharia,NA,2
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,24,Seagrass,NA,1
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,24,Sand,NA,3
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,24,Anomastraea,NA,1
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,24,Astreopora,NA,1
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,24,Blastomussa,NA,1
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,24,Caulastraea,NA,1
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,24,Cladiella,NA,1
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,24,Coeloseris,NA,1
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,24,Porites,Branching,4
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,24,Porites,Massive,2
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,25,Crustose coralline algae,NA,1
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,25,Halimeda,NA,1
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,25,Macroalgae,NA,2
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,25,Turf algae,NA,3
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,25,Dead coral,NA,1
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,25,Tape,NA,2
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,25,Acropora,NA,1
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,25,Coscinaraea,NA,1
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,25,Echinopora,NA,2
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,25,Galaxea,NA,1
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,25,Platygyra,NA,1
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,25,Plerogyra,NA,1
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,25,Porites,Branching,3
1208,Control,2022,12,13,6,1,50,25,1,25,amkieltiela@datamermaid.org,25,Porites,Massive,5
1208,Control,2022,12,13,6,2,50,25,1,25,amkieltiela@datamermaid.org,1,Macroalgae,NA,1
1208,Control,2022,12,13,6,2,50,25,1,25,amkieltiela@datamermaid.org,1,Anemone,NA,1
1208,Control,2022,12,13,6,2,50,25,1,25,amkieltiela@datamermaid.org,1,Ascidian,NA,1
1208,Control,2022,12,13,6,2,50,25,1,25,amkieltiela@datamermaid.org,1,Bare substrate,NA,1
1208,Control,2022,12,13,6,2,50,25,1,25,amkieltiela@datamermaid.org,1,Seagrass,NA,12
1208,Control,2022,12,13,6,2,50,25,1,25,amkieltiela@datamermaid.org,1,Acanthastrea,NA,2
1208,Control,2022,12,13,6,2,50,25,1,25,amkieltiela@datamermaid.org,1,Acropora,NA,2
1208,Control,2022,12,13,6,2,50,25,1,25,amkieltiela@datamermaid.org,1,Agaricia,NA,2
1208,Control,2022,12,13,6,2,50,25,1,25,amkieltiela@datamermaid.org,1,Alveopora,NA,1
1208,Control,2022,12,13,6,2,50,25,1,25,amkieltiela@datamermaid.org,1,Anomastraea,NA,1
1208,Control,2022,12,13,6,2,50,25,1,25,amkieltiela@datamermaid.org,1,Astreopora,NA,1
1208,Control,2022,12,13,6,2,50,25,1,25,amkieltiela@datamermaid.org,2,Crustose coralline algae,NA,1
1208,Control,2022,12,13,6,2,50,25,1,25,amkieltiela@datamermaid.org,2,Macroalgae,NA,2
1208,Control,2022,12,13,6,2,50,25,1,25,amkieltiela@datamermaid.org,2,Anemone,NA,1
1208,Control,2022,12,13,6,2,50,25,1,25,amkieltiela@datamermaid.org,2,Ascidian,NA,1
1208,Control,2022,12,13,6,2,50,25,1,25,amkieltiela@datamermaid.org,2,Bare substrate,NA,1
1208,Control,2022,12,13,6,2,50,25,1,25,amkieltiela@datamermaid.org,2,Corallimorpharia,NA,1
1208,Control,2022,12,13,6,2,50,25,1,25,amkieltiela@datamermaid.org,2,Seagrass,NA,1
1208,Control,2022,12,13,6,2,50,25,1,25,amkieltiela@datamermaid.org,2,Alveopora,NA,1
1208,Control,2022,12,13,6,2,50,25,1,25,amkieltiela@datamermaid.org,2,Anomastraea,NA,1
1208,Control,2022,12,13,6,2,50,25,1,25,amkieltiela@datamermaid.org,2,Astreopora,NA,1
1208,Control,2022,12,13,6,2,50,25,1,25,amkieltiela@datamermaid.org,2,Diploastrea,NA,1
1208,Control,2022,12,13,6,2,50,25,1,25,amkieltiela@datamermaid.org,2,Dipsastraea,NA,1
1208,Control,2022,12,13,6,2,50,25,1,25,amkieltiela@datamermaid.org,2,Echinophyllia,NA,1
1208,Control,2022,12,13,6,2,50,25,1,25,amkieltiela@datamermaid.org,2,Echinopora,NA,1
1208,Control,2022,12,13,6,2,50,25,1,25,amkieltiela@datamermaid.org,2,Euphyllia,NA,1
1208,Control,2022,12,13,6,2,50,25,1,25,amkieltiela@datamermaid.org,2,Favia,NA,1
1208,Control,2022,12,13,6,2,50,25,1,25,amkieltiela@datamermaid.org,2,Favites,NA,1
1208,Control,2022,12,13,6,2,50,25,1,25,amkieltiela@datamermaid.org,2,Fungia,NA,1
1208,Control,2022,12,13,6,2,50,25,1,25,amkieltiela@datamermaid.org,2,Galaxea,NA,1
1208,Control,2022,12,13,6,2,50,25,1,25,amkieltiela@datamermaid.org,2,Porites,Massive,5
1208,Control,2022,12,13,6,2,50,25,1,25,amkieltiela@datamermaid.org,3,Crustose coralline algae,NA,1
1208,Control,2022,12,13,6,2,50,25,1,25,amkieltiela@datamermaid.org,3,Halimeda,NA,1
1208,Control,2022,12,13,6,2,50,25,1,25,amkieltiela@datamermaid.org,3,Turf algae,NA,1
1208,Control,2022,12,13,6,2,50,25,1,25,amkieltiela@datamermaid.org,3,Bare substrate,NA,1
1208,Control,2022,12,13,6,2,50,25,1,25,amkieltiela@datamermaid.org,3,Corallimorpharia,NA,14
1208,Control,2022,12,13,6,2,50,25,1,25,amkieltiela@datamermaid.org,3,Sponge,NA,1
1208,Control,2022,12,13,6,2,50,25,1,25,amkieltiela@datamermaid.org,3,Diploastrea,NA,1
1208,Control,2022,12,13,6,2,50,25,1,25,amkieltiela@datamermaid.org,3,Dipsastraea,NA,1
1208,Control,2022,12,13,6,2,50,25,1,25,amkieltiela@datamermaid.org,3,Echinophyllia,NA,1
1208,Control,2022,12,13,6,2,50,25,1,25,amkieltiela@datamermaid.org,3,Echinopora,NA,1
1208,Control,2022,12,13,6,2,50,25,1,25,amkieltiela@datamermaid.org,3,Euphyllia,NA,1
1208,Control,2022,12,13,6,2,50,25,1,25,amkieltiela@datamermaid.org,3,Favia,NA,1
1208,Control,2022,12,13,6,2,50,25,1,25,amkieltiela@datamermaid.org,4,Crustose coralline algae,NA,7
1208,Control,2022,12,13,6,2,50,25,1,25,amkieltiela@datamermaid.org,4,Halimeda,NA,1
1208,Control,2022,12,13,6,2,50,25,1,25,amkieltiela@datamermaid.org,4,Turf algae,NA,2
1208,Control,2022,12,13,6,2,50,25,1,25,amkieltiela@datamermaid.org,4,Bare substrate,NA,1
1208,Control,2022,12,13,6,2,50,25,1,25,amkieltiela@datamermaid.org,4,Corallimorpharia,NA,2
1208,Control,2022,12,13,6,2,50,25,1,25,amkieltiela@datamermaid.org,4,Obscured,NA,2
1208,Control,2022,12,13,6,2,50,25,1,25,amkieltiela@datamermaid.org,4,Acropora,NA,2
1208,Control,2022,12,13,6,2,50,25,1,25,amkieltiela@datamermaid.org,4,Favites,NA,1
1208,Control,2022,12,13,6,2,50,25,1,25,amkieltiela@datamermaid.org,4,Fungia,NA,1
1208,Control,2022,12,13,6,2,50,25,1,25,amkieltiela@datamermaid.org,4,Galaxea,NA,1
1208,Control,2022,12,13,6,2,50,25,1,25,amkieltiela@datamermaid.org,4,Pavona,NA,1
1208,Control,2022,12,13,6,2,50,25,1,25,amkieltiela@datamermaid.org,4,Porites,Branching,1
1208,Control,2022,12,13,6,2,50,25,1,25,amkieltiela@datamermaid.org,4,Porites,Massive,3
1208,Control,2022,12,13,6,2,50,25,1,25,amkieltiela@datamermaid.org,5,Turf algae,NA,1
1208,Control,2022,12,13,6,2,50,25,1,25,amkieltiela@datamermaid.org,5,Seagrass,NA,16
1208,Control,2022,12,13,6,2,50,25,1,25,amkieltiela@datamermaid.org,5,Tape,NA,1
1208,Control,2022,12,13,6,2,50,25,1,25,amkieltiela@datamermaid.org,5,Unknown,NA,1
1208,Control,2022,12,13,6,2,50,25,1,25,amkieltiela@datamermaid.org,5,Stylophora,NA,1
1208,Control,2022,12,13,6,2,50,25,1,25,amkieltiela@datamermaid.org,5,Symphyllia,NA,1
1208,Control,2022,12,13,6,2,50,25,1,25,amkieltiela@datamermaid.org,5,Trachyphyllia,NA,1
1208,Control,2022,12,13,6,2,50,25,1,25,amkieltiela@datamermaid.org,5,Tubastraea,NA,1
1208,Control,2022,12,13,6,2,50,25,1,25,amkieltiela@datamermaid.org,5,Tubipora,NA,1
1208,Control,2022,12,13,6,2,50,25,1,25,amkieltiela@datamermaid.org,5,Turbinaria-coral,NA,1
1208,Control,2022,12,13,6,2,50,25,1,25,amkieltiela@datamermaid.org,6,Crustose coralline algae,NA,1
1208,Control,2022,12,13,6,2,50,25,1,25,amkieltiela@datamermaid.org,6,Macroalgae,NA,1
1208,Control,2022,12,13,6,2,50,25,1,25,amkieltiela@datamermaid.org,6,Turf algae,NA,5
1208,Control,2022,12,13,6,2,50,25,1,25,amkieltiela@datamermaid.org,6,Corallimorpharia,NA,4
1208,Control,2022,12,13,6,2,50,25,1,25,amkieltiela@datamermaid.org,6,Seagrass,NA,12
1208,Control,2022,12,13,6,2,50,25,1,25,amkieltiela@datamermaid.org,6,Galaxea,NA,1
1208,Control,2022,12,13,6,2,50,25,1,25,amkieltiela@datamermaid.org,6,Pocillopora,NA,1
1208,Control,2022,12,13,6,2,50,25,1,25,amkieltiela@datamermaid.org,7,Macroalgae,NA,1
1208,Control,2022,12,13,6,2,50,25,1,25,amkieltiela@datamermaid.org,7,Turf algae,NA,1
1208,Control,2022,12,13,6,2,50,25,1,25,amkieltiela@datamermaid.org,7,Obscured,NA,1
1208,Control,2022,12,13,6,2,50,25,1,25,amkieltiela@datamermaid.org,7,Seagrass,NA,5
1208,Control,2022,12,13,6,2,50,25,1,25,amkieltiela@datamermaid.org,7,Tape,NA,2
1208,Control,2022,12,13,6,2,50,25,1,25,amkieltiela@datamermaid.org,7,Unknown,NA,1
